"tree.id","slope","aspect"
"2510",17.7443321297986,332.146389777718
"2529",9.32653458172236,56.8448868046451
"2536",6.19543762457527,43.8429036044716
"2573",22.4389371922824,10.0451280877367
"1389",19.0993276431193,161.696694952047
"1309",30.069105982512,317.406412179992
"1348",13.8158961115014,310.071230395928
"1372",23.9135924248975,330.414906162769
"1366",16.0569154027655,119.948507980282
"4208",13.8602553160792,91.2477306711322
"4213",13.2206008793986,96.7615460387673
"4030",27.5069090716371,194.561521953282
"4007",25.2819868367347,27.877959453211
"1228",18.8836620312745,15.6499291274142
"1108",11.3706079134476,98.6333050976063
"1136",6.84076680536466,205.905487763006
"1150",22.8180935872817,322.674744213189
"1156",22.1014198727022,336.049758630089
"1123",7.71624380059867,291.83714805651
"1116",5.76137730577964,228.16734384284
"1119",9.21843251048306,238.515879154154
