"X.1","tree.id","tree.ref","ref.is.self","ref.is.ref","ref.is.tree","ref.missing","plot.id","foc","cmp","species","dbh","ba20","ref","brg.to.ref","backbrg","dist.to.ref","notes","tree.or.logger","former.id","X","brg.to.ref.true","x","y","dummy.coords","elev","voronoi.area","radius","radius.external"
58,"2024","2022",FALSE,FALSE,TRUE,FALSE,"RS58","X",NA,"PSME",74.6,9,"2022",230,TRUE,11.4,"","tree","","",63.5,30534.33323,-33514.07401,0,1255.31798773257,58.71589575,228.355505034059,279.02286
59,"2566","2563",FALSE,FALSE,TRUE,FALSE,"RT02","X",NA,"ABCO",41.2,12,"2563",84,FALSE,5.3,"","tree","","",97.5,28496.23053,-52321.69384,0,1199.55113210935,17.0717235,195.984789664583,168.08142
60,"1386","1385",FALSE,FALSE,TRUE,FALSE,"ZA03","X",NA,"PSME",42.5,6,"1385",132,FALSE,7.8,"","tree","","",145.5,-49163.07811,130824.0234,0,1679.14732589659,94.49158911,165.929771143383,172.3995
62,"1361","1362",FALSE,FALSE,TRUE,FALSE,"ZA10A-C","X",NA,"PIPO",73,9,"1362",343,FALSE,14.1,"","tree","","",356.5,-45405.13562,121747.5302,0,1788.3594810092,24.76622547,296.347202905757,273.7083
63,"4027","4026",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PSME",34.4,5,"4026",47,FALSE,6,"Depends on ref missing on datasheet","tree","","",60.5,-88259.52775,100329.0277,0,378.787364193066,63.07629768,152.981794222593,145.49454
64,"4004","4003",FALSE,FALSE,TRUE,FALSE,"LLC1","X",NA,"PSME",36,6,"4003",119,TRUE,2.5,"","tree","","",312.5,-89467.7676,102253.8347,0,245.775233890076,24.09001899,164.07597155736,150.8091
65,"1145","1144",FALSE,FALSE,TRUE,FALSE,"LESTAN","X",NA,"PSME",114.4,9,"1144",41,FALSE,14.3,"","tree","","",54.5,1468.918733,-21031.41067,0,1109.17255902466,58.95419842,NA,411.22254
66,"1111","1110",FALSE,TRUE,FALSE,FALSE,"YSO3","X",NA,"PIPO",76.2,12,"1110",323,FALSE,15,"","tree","","distance from 1110 is a gest guess (was blank on datasheet)",336.5,2834.467032,-21360.09989,0,1196.9755106759,4.889922861,NA,284.33742
67,"1254","1254OFFSET",FALSE,TRUE,FALSE,FALSE,"RR33","X",NA,"PSME",48.6,16,"1254OFFSET",203,FALSE,9.6,"","tree","","",216.5,62801.76346,-84119.21384,0,1678.68198630906,15.93871816,187.133111756649,192.66126
68,"1437","1436",FALSE,FALSE,TRUE,FALSE,"YB01F","X",NA,"PIPO",49.5,8,"1436",75,FALSE,10.8,"","tree","","",88.5,10531.58928,-48003.3511,0,1093.20480570686,35.82996095,NA,195.6507
