"tree.id","tree.ref","ref.is.self","ref.is.ref","ref.is.tree","ref.missing","plot.id","foc","cmp","species","dbh","ba20","ref","brg.to.ref","backbrg","dist.to.ref","notes","tree.or.logger","former.id","X","brg.to.ref.true","x","y","dummy.coords","elev","cluster"
"1362","1359",FALSE,FALSE,TRUE,FALSE,"ZA10A-C","X",NA,"PIPO",43,5,"1359",68,FALSE,25.8,"","tree","","",81.5,-45405.9964059766,121761.603855231,0,1789.49370577744,"NH"
"4026","4025",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PSME",36,4,"4025",226,TRUE,2.6,"Depends on ref missing on datasheet","tree","","",59.5,-88254.3056167754,100331.982242024,0,374.799283136515,"NL"
"4003","4002",FALSE,FALSE,TRUE,FALSE,"LLC1","X",NA,"PSME",28,6,"4002",255,FALSE,16,"","tree","","",268.5,-89469.6107948942,102255.523714451,0,245.044697003662,"NL"
"1144","1143",FALSE,TRUE,FALSE,FALSE,"LESTAN","X",NA,"PIPO",34.8,9,"1143",340,FALSE,10.8,"","tree","","",353.5,1480.56058504191,-21023.1066168362,0,1107.79243236018,"SL"
"1436","1435",FALSE,FALSE,TRUE,FALSE,"YB01F","X",NA,"PSME",47.5,6,"1435",79,FALSE,5.2,"","tree","","",92.5,10542.3855755899,-48003.0683920701,0,1095.85148763734,"SL"
"4043","4042",FALSE,FALSE,TRUE,FALSE,"ULC1","X",NA,"PSME",31.3,7,"4042",159,TRUE,0.5,"","tree","","",352.5,-83931.5898574643,105126.988931015,0,427.888976147113,"NL"
"1449","1448",FALSE,FALSE,TRUE,FALSE,"ZA04A","X",NA,"PILA",64.5,14,"1448",172,FALSE,6,"","tree","","",185.5,-48856.477361224,130190.60944194,0,1709.34170566488,"NH"
"1475","1474",FALSE,FALSE,TRUE,FALSE,"WA01","X",NA,"PILA",100.6,11,"1474",157,FALSE,3.9,"","tree","","",170.5,-54429.8626869983,130085.624660665,0,1462.94174617169,"NH"
"1397","1485",FALSE,TRUE,FALSE,FALSE,"SS24","X",NA,"PSME",79.3,5,"1485",235,TRUE,7.3,"","tree","","",68.5,-64021.3449834917,117767.023333597,0,1245.3996024463,"NH"
"1034","1094",FALSE,FALSE,TRUE,FALSE,"SS81","X",NA,"PSME",44.3,15,"1094",57,FALSE,8.7,"","tree","","",70.5,-102907.429765636,188421.487980273,0,1181.53746057544,"NH"
"2104","2100",FALSE,FALSE,TRUE,FALSE,"RS91","X",NA,"PSME",93.8,12,"2100",342,FALSE,59.1,"","tree","","",355.5,15379.7643412433,-26338.8174781744,0,1490.96053396275,"SL"
"2049","RS77ROCK",FALSE,TRUE,FALSE,FALSE,"RS77","X",NA,"PSME",68.9,6,"RS77ROCK",22,FALSE,17.2,"","tree","","",35.5,17768.6801603508,-10354.027043743,0,1367.36001072235,"SL"
"1410","1408",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"PIPO",31.5,3,"1408",235,FALSE,6.7,"","tree","","",248.5,62494.7032169826,-86554.2994987424,0,1722.4653464932,"SH"
"2004","2003",FALSE,FALSE,TRUE,FALSE,"RS98F","X",NA,"PSME",45.7,5,"2003",141,FALSE,9.3,"","tree","","",154.5,31562.7369800306,-32293.9523468529,0,1215.41654713701,"SL"
"2024","2022",FALSE,FALSE,TRUE,FALSE,"RS58","X",NA,"PSME",74.6,9,"2022",230,TRUE,11.4,"","tree","","",63.5,30534.3332262876,-33514.0740085522,0,1254.90561355148,"SL"
"2566","2563",FALSE,FALSE,TRUE,FALSE,"RT02","X",NA,"ABCO",41.2,12,"2563",84,FALSE,5.3,"","tree","","",97.5,28496.2305347953,-52321.6938374732,0,1198.95242174174,"SL"
"1386","1385",FALSE,FALSE,TRUE,FALSE,"ZA03","X",NA,"PSME",42.5,6,"1385",132,FALSE,7.8,"","tree","","",145.5,-49163.0781140833,130824.023353458,0,1679.83067866604,"NH"
"1305","1304",FALSE,FALSE,TRUE,FALSE,"SSA15","X",NA,"PIPO",135.5,7,"1304",325,FALSE,36,"","tree","","",338.5,-61822.7247663535,111654.381017243,0,732.332708710562,"NL"
"1361","1362",FALSE,FALSE,TRUE,FALSE,"ZA10A-C","X",NA,"PIPO",73,9,"1362",343,FALSE,14.1,"","tree","","",356.5,-45405.1356215692,121747.530154574,0,1788.57400380925,"NH"
"4027","4026",FALSE,FALSE,TRUE,FALSE,"HEN1","X",NA,"PSME",34.4,5,"4026",47,FALSE,6,"Depends on ref missing on datasheet","tree","","",60.5,-88259.5277509511,100329.027700663,0,376.659655869878,"NL"
"4004","4003",FALSE,FALSE,TRUE,FALSE,"LLC1","X",NA,"PSME",36,6,"4003",119,TRUE,2.5,"","tree","","",312.5,-89467.7676015522,102253.834738932,0,245.158000263924,"NL"
"1145","1144",FALSE,FALSE,TRUE,FALSE,"LESTAN","X",NA,"PSME",114.4,9,"1144",41,FALSE,14.3,"","tree","","",54.5,1468.91873312941,-21031.4106691029,0,1108.19047002176,"SL"
"1111","1110",FALSE,TRUE,FALSE,FALSE,"YSO3","X",NA,"PIPO",76.2,12,"1110",323,FALSE,15,"","tree","","distance from 1110 is a gest guess (was blank on datasheet)",336.5,2834.46703242671,-21360.0998932927,0,1197.06302674262,"SL"
"1254","1254OFFSET",FALSE,TRUE,FALSE,FALSE,"RR33","X",NA,"PSME",48.6,16,"1254OFFSET",203,FALSE,9.6,"","tree","","",216.5,62801.763457099,-84119.2138363176,0,1677.87896252544,"SH"
"1437","1436",FALSE,FALSE,TRUE,FALSE,"YB01F","X",NA,"PIPO",49.5,8,"1436",75,FALSE,10.8,"","tree","","",88.5,10531.5892764802,-48003.3511031118,0,1093.34211814276,"SL"
"2116","RS91HR1",FALSE,TRUE,FALSE,FALSE,"RS91H","X",NA,"PSME",68.9,12,"RS91HR1",106,FALSE,14.8,"","tree","","",119.5,15619.0181126426,-26032.4819052873,0,1478.34647583135,"SL"
"2600","PM101",FALSE,TRUE,FALSE,FALSE,"TEDDY","X",NA,"PIPO",73.5,10,"PM101",172,FALSE,12.7,"","tree","","",185.5,30045.2819326714,-33420.4567388781,0,1201.16057700324,"SL"
"4044","4043",FALSE,FALSE,TRUE,FALSE,"ULC1","X",NA,"PSME",42.8,8,"4043",214,TRUE,6.2,"","tree","","",47.5,-83936.1609769525,105122.800271727,0,430.643436467709,"NL"
"1450","1449",FALSE,FALSE,TRUE,FALSE,"ZA04A","X",NA,"PSME",56,11,"1449",273,FALSE,11.4,"","tree","","",286.5,-48845.5468162465,130187.371667011,0,1713.62854561127,"NH"
"1479","1475",FALSE,FALSE,TRUE,FALSE,"WA01","X",NA,"PSME",180.2,14,"1475",64,FALSE,37.3,"","tree","","",77.5,-54466.2785280638,130077.551463065,0,1466.3423898277,"NH"
"1488","1397",FALSE,FALSE,TRUE,FALSE,"SS24","X",NA,"PSME",59,8,"1397",115,FALSE,8.6,"","tree","","",128.5,-64028.0754136406,117772.376959472,0,1245.57672954616,"NH"
"1035","1034",FALSE,FALSE,TRUE,FALSE,"SS81","X",NA,"PSME",42.9,14,"1034",40,FALSE,2.9,"","tree","","",53.5,-102909.760950531,188419.762994191,0,1181.11744962138,"NH"
"1088","1042",FALSE,TRUE,FALSE,FALSE,"SS81B","X",NA,"PSME",117.5,10,"1042",234,FALSE,6,"","tree","","",247.5,-102689.40863473,188592.681714883,0,1122.19690038246,"NH"
"2106","2104",FALSE,FALSE,TRUE,FALSE,"RS91","X",NA,"PSME",135.1,8,"2104",82,TRUE,14.4,"","tree","","",275.5,15394.0980464998,-26340.1976570107,0,1488.04303387673,"SL"
