"tree.id","former.id","species","dbh","x","y","elev","plot.id","cluster"
"2563","","PSME","27.7",28501,-52322,1200,"RT02","SL"
"1385","","PIPO","90.6",-49159,130818,1677,"ZA03","NH"
"1304","","PSME","150",-61836,111688,720,"SSA15","NL"
"1362","","PIPO","43",-45406,121762,1789,"ZA10A-C","NH"
"4026","","PSME","36",-88254,100332,377,"HEN1","NL"
"4003","","PSME","28",-89470,102256,246,"LLC1","NL"
"1144","","PIPO","34.8",1481,-21023,1108,"LESTAN","SL"
"1436","","PSME","47.5",10542,-48003,1096,"YB01F","SL"
"4043","","PSME","31.3",-83932,105127,429,"ULC1","NL"
"1449","","PILA","64.5",-48856,130191,1711,"ZA04A","NH"
"1475","","PILA","100.6",-54430,130086,1463,"WA01","NH"
"1397","","PSME","79.3",-64021,117767,1245,"SS24","NH"
"1034","","PSME","44.3",-102907,188421,1182,"SS81","NH"
"2104","","PSME","93.8",15380,-26339,1492,"RS91","SL"
"2049","","PSME","68.9",17769,-10354,1368,"RS77","SL"
"1410","","PIPO","31.5",62495,-86554,1723,"RR20","SH"
"2004","","PSME","45.7",31563,-32294,1215,"RS98F","SL"
"2024","","PSME","74.6",30534,-33514,1255,"RS58","SL"
"2566","","ABCO","41.2",28496,-52322,1200,"RT02","SL"
"1386","","PSME","42.5",-49163,130824,1679,"ZA03","NH"
"1305","","PIPO","135.5",-61823,111654,734,"SSA15","NL"
"1361","","PIPO","73",-45405,121748,1788,"ZA10A-C","NH"
"4027","","PSME","34.4",-88260,100329,379,"HEN1","NL"
"4004","","PSME","36",-89468,102254,246,"LLC1","NL"
"1145","","PSME","114.4",1469,-21031,1109,"LESTAN","SL"
"1111","","PIPO","76.2",2834,-21360,1197,"YSO3","SL"
"1254","","PSME","48.6",62802,-84119,1679,"RR33","SH"
"1437","","PIPO","49.5",10532,-48003,1093,"YB01F","SL"
"2116","","PSME","68.9",15619,-26032,1478,"RS91H","SL"
"2600","","PIPO","73.5",30045,-33420,1201,"TEDDY","SL"
"4044","","PSME","42.8",-83936,105123,432,"ULC1","NL"
"1450","","PSME","56",-48846,130187,1715,"ZA04A","NH"
"1479","","PSME","180.2",-54466,130078,1467,"WA01","NH"
"1488","","PSME","59",-64028,117772,1246,"SS24","NH"
"1035","","PSME","42.9",-102910,188420,1181,"SS81","NH"
"1088","","PSME","117.5",-102689,188593,1123,"SS81B","NH"
"2106","","PSME","135.1",15394,-26340,1489,"RS91","SL"
"2151","","PIPO","68.7",25651,-33219,1431,"RS54","SL"
"2050","","PSME","44.1",17780,-10351,1368,"RS77","SL"
"2040","","PIPO","89.8",16673,-11851,1428,"RS85B","SL"
"1409","","PSME","46.1",62508,-86551,1726,"RR20","SH"
"2008","","PSME","50.6",31555,-32302,1215,"RS98F","SL"
"2025","","PSME","103.6",30533,-33514,1255,"RS58","SL"
"2501","","ABCO","32",28005,-48935,1463,"SA03","SL"
"2527","","PSME","43.8",33184,-52959,1277,"RS10","SL"
