Timestamp,Core number,Newer record exists?,Core has multiple records?,Modification(s) made,If adding or removing rings...,Core status,Good alignment through year,Was alignment limited by reference chronology length?,Other notes,Person,Derek double-check needed?,Crossdating by...,Were there multiple potential ways to get good alignment?,If modification did not make sense in image...,
3/12/2015 12:34:11,2581,FALSE,FALSE,Resolved uncs,Yes,Good alignment throughout,,No,,Alec,,,,,
3/12/2015 12:46:07,1497,FALSE,FALSE,"Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment throughout,,No,,Alec,,,,1950,
3/12/2015 12:52:09,1437,FALSE,FALSE,Resolved uncs,Yes,Good alignment through year X,1887,Yes,,Alec,,,,,
3/13/2015 13:32:30,1007Z,TRUE,TRUE,"Resolved uncs, Added ring(s)",Yes,Good alignment through year X,1957,Yes,Not excellent alignment,Cole,"Alignment Mediocre, double check could be done",,,,
3/13/2015 13:42:05,1307,FALSE,FALSE,Resolved uncs,Yes,Good alignment throughout,,No,,Cole,,,,,
3/13/2015 13:56:56,4033,FALSE,FALSE,Resolved uncs,Yes,Good alignment throughout,,No,,Cole,,,,,
3/13/2015 14:17:09,1301,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment throughout,,No,,Cole,,,,,
3/13/2015 14:39:32,1018,TRUE,TRUE,Dated core,Yes,Good alignment throughout,,No,,Cole,,,,,
3/16/2015 12:23:33,1297,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Cole,,,,,
3/16/2015 12:27:57,1020,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Cole,,,,,
3/16/2015 12:36:39,1021,TRUE,TRUE,Dated core,,Good alignment throughout,,No,,Cole,,,,,
3/16/2015 12:41:12,1007,TRUE,TRUE,Dated core,,Good alignment through year X,1932,No,,Cole,,,,,
3/16/2015 12:50:20,1022,FALSE,FALSE,"Dated core, Added ring(s)",Yes,Good alignment throughout,,No,,Cole,,,,,
3/16/2015 12:53:00,1024,FALSE,FALSE,Dated core,Yes,Good alignment throughout,,No,,Cole,,,,,
3/16/2015 12:56:26,1008,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Cole,,,,,
3/16/2015 13:00:42,1023,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Cole,,,,,
3/30/2015 14:36:54,2114,TRUE,TRUE,"Resolved uncs, Added ring(s), Removed ring(s)",No,Poor alignment  throughout,,No,unclear removal of rings in beginning,Sky,check beginning alignment,,,1958,
3/30/2015 14:58:17,2117,FALSE,FALSE,"Dated core, Resolved uncs, Removed ring(s)",No,Good alignment through year X,1920,No,,Sky,,,,1929,
3/30/2015 15:13:24,2127,FALSE,FALSE,"Dated core, Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment through year X,1937,No,,Sky,,,,1971,
3/30/2015 15:25:44,2129,TRUE,TRUE,"Dated core, Resolved uncs, Added ring(s)",No,Poor alignment  throughout,,No,,Sky,,,,1983,
3/31/2015 10:41:08,2003,FALSE,FALSE,Resolved uncs,Yes,Good alignment throughout,,No,,Alec,,,,,
3/31/2015 10:53:41,2536,FALSE,FALSE,Resolved uncs,Yes,Good alignment through year X,1900,Yes,,Alec,,,,,
3/31/2015 10:55:57,2569,FALSE,FALSE,Resolved uncs,Yes,Good alignment through year X,1900,Yes,,Alec,,,,,
3/31/2015 11:00:55,2012,FALSE,FALSE,Resolved uncs,Yes,Good alignment throughout,,No,,Alec,,,,,
3/31/2015 11:09:34,2018,FALSE,FALSE,"Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment through year X,1887,Yes,,Alec,,,,1976,
3/31/2015 11:16:13,2571,FALSE,FALSE,Resolved uncs,Yes,Good alignment throughout,,No,,Alec,,,,,
3/31/2015 11:35:09,2571Z,FALSE,FALSE,"Dated core, Removed ring(s)",Yes,Good alignment through year X,1900,Yes,,Alec,,,,,
3/31/2015 11:46:56,2020,TRUE,TRUE,Dated core,,Good alignment through year X,1909,Yes,,Alec,,,,,
3/31/2015 11:50:49,2030,TRUE,TRUE,Dated core,,Good alignment through year X,1909,Yes,,Alec,,,,,
3/31/2015 11:56:05,2025,TRUE,TRUE,Dated core,,Good alignment through year X,1909,Yes,,Alec,,,,,
3/31/2015 11:59:07,2029,TRUE,TRUE,Dated core,,Good alignment through year X,1909,Yes,,Alec,,,,,
3/31/2015 12:09:48,2526,FALSE,FALSE,"Dated core, Added ring(s)",No,Good alignment through year X,1900,Yes,,Alec,,,,1988,
3/31/2015 12:16:42,2013,FALSE,FALSE,"Dated core, Removed ring(s)",Yes,Good alignment through year X,1887,Yes,,Alec,,,,,
3/31/2015 12:19:26,1439,TRUE,TRUE,Dated core,,Good alignment through year X,1909,Yes,,Alec,,,,,
3/31/2015 12:29:17,2573,FALSE,FALSE,"Dated core, Added ring(s)",Yes,Good alignment through year X,1900,Yes,,Alec,,,,,
3/31/2015 12:38:44,1440,FALSE,FALSE,"Dated core, Added ring(s)",No,Good alignment through year X,1955,No,,Alec,,,,1929,
3/31/2015 12:45:25,1493,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Alec,,,,,
3/31/2015 12:47:40,2588Z,FALSE,FALSE,Dated core,,Good alignment through year X,1916,No,,Alec,,,,,
4/1/2015 10:03:54,1305,TRUE,TRUE,Dated core,,Poor alignment  throughout,,No,auto correlation yields a 22 year offset. ,Rosie,yes please,,,,
4/1/2015 10:06:22,1320,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Rosie,,,,,
4/1/2015 10:12:35,1321,FALSE,FALSE,Dated core,,Good alignment throughout,,No,"the red plot shows a crazy exponential tail, it looks really weird ",Rosie,"This core is crazy, yes",,,,
4/1/2015 10:15:43,1038,FALSE,FALSE,Dated core,,Good alignment through year X,1918,No,,Rosie,,,,,
4/1/2015 10:18:34,1389,FALSE,FALSE,Dated core,,Good alignment through year X,1887,Yes,,Rosie,,,,,
4/1/2015 10:26:48,1392,FALSE,FALSE,Dated core,,Good alignment through year X,1930,No,,Rosie,,,,,
4/1/2015 10:29:29,1382,FALSE,FALSE,Dated core,,Good alignment through year X,1923,No,,Rosie,,,,,
4/1/2015 10:33:15,1208,TRUE,TRUE,Dated core,,Poor alignment  throughout,,No,,Rosie,,,,,
4/1/2015 15:44:14,2510,FALSE,FALSE,"Dated core, Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment through year X,1895,Yes,,Sky,check dating,,,1935,
4/1/2015 15:50:43,2102,FALSE,FALSE,Dated core,,Good alignment through year X,1951,No,,Sky,,,,,
4/1/2015 16:02:44,2500,TRUE,TRUE,"Dated core, Added ring(s), Removed ring(s)",No,Good alignment through year X,1954,No,add rings or offset year?,Sky,check dating,,,1970,
4/1/2015 16:20:54,2160,TRUE,TRUE,Dated core,,Good alignment through year X,1956,No,,Sky,,,,,
4/1/2015 16:32:48,1248,FALSE,FALSE,"Dated core, Added ring(s)",No,Good alignment through year X,1975,No,,Sky,,,,1973,
4/1/2015 16:35:47,1228,FALSE,FALSE,Dated core,,Good alignment through year X,1947,No,,Sky,,,,,
4/1/2015 16:38:47,2059,FALSE,FALSE,Dated core,,Good alignment through year X,1946,No,,Sky,,,,,
4/1/2015 16:43:18,2125,FALSE,FALSE,Dated core,,Good alignment through year X,1942,No,,Sky,,,,,
4/1/2015 16:53:56,2122,FALSE,FALSE,Dated core,,Good alignment through year X,1943,No,,Sky,,,,,
4/1/2015 16:57:30,1235,FALSE,FALSE,Dated core,,Good alignment through year X,1941,No,,Sky,,,,,
4/1/2015 17:07:12,pm97,TRUE,TRUE,Dated core,,Good alignment through year X,1951,No,"correlation drops significantly after 1951, truncated here",Sky,alignment after 1951?,,,,
4/1/2015 17:12:39,2118Z,TRUE,TRUE,Dated core,,Poor alignment  throughout,,No,,Sky,,,,,
4/1/2015 17:26:14,1281,FALSE,FALSE,"Dated core, shifted alignment of rings in last 5 rings",Yes,Good alignment through year X,1941,No,,Sky,,,,,
4/2/2015 11:01:06,1234,TRUE,TRUE,Dated core,,Good alignment through year X,1895,Yes,,Sky,,,,,
4/2/2015 11:16:10,2045,FALSE,FALSE,"Dated core, Resolved uncs, Removed ring(s)",Yes,Good alignment through year X,1893,No,,Sky,,,,,
4/2/2015 11:37:36,2137,FALSE,FALSE,"Dated core, Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment through year X,1924,No,,Sky,,,,1933,
4/2/2015 12:02:11,2514,TRUE,TRUE,"Dated core, Resolved uncs",Yes,Good alignment through year X,1958,No,,Sky,,,,,
4/2/2015 12:20:01,1280,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment through year X,1940,No,,Sky,,,,,
4/2/2015 13:32:17,1435,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Alec,,,,,
4/2/2015 13:36:16,2604,TRUE,TRUE,Dated core,,Good alignment through year X,1909,Yes,,Alec,,,,,
4/2/2015 13:42:53,1500,TRUE,TRUE,"Dated core, Added ring(s)",No,Good alignment through year X,1909,Yes,,Alec,,,,1988,
4/2/2015 13:51:50,1496,FALSE,FALSE,"Dated core, Added ring(s), Removed ring(s)",Yes,Good alignment throughout,,No,"Removed 2 rings, added 1 ring. removed rings made sense visually, added ring did not.",Alec,,,,,
4/2/2015 13:54:21,2597,FALSE,FALSE,Dated core,,Good alignment through year X,1914,Yes,,Alec,,,,,
4/2/2015 13:57:07,2582,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Alec,,,,,
