Timestamp,Core number,Newer record exists?,Core has multiple records?,Modification(s) made,If adding or removing rings...,Core status,Good alignment through year,Was alignment limited by reference chronology length?,Other notes,Person,Derek double-check needed?,Crossdating by...,Were there multiple potential ways to get good alignment?,If modification did not make sense in image...,
4/9/2015 12:15:14,1263,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/9/2015 12:23:01,1223,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/9/2015 12:32:24,1078,FALSE,FALSE,"Dated core, Added ring(s)",No,Good alignment throughout,,No,,Sky,,,,1944,
4/9/2015 12:38:34,2516,FALSE,FALSE,Removed ring(s),Yes,Good alignment through year X,1894,Yes,,Sky,,,,,
4/9/2015 12:53:55,2052,FALSE,FALSE,Dated core,,Good alignment through year X,1894,Yes,,Sky,,,,,
4/14/2015 9:58:21,2551,FALSE,TRUE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
4/14/2015 10:00:35,2542,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
4/14/2015 10:06:06,2595,TRUE,TRUE,no modifications,,Good alignment through year X,1907,Yes,,Alec,,,,,
4/14/2015 10:11:09,2592,FALSE,FALSE,"Resolved uncs, Removed ring(s)",Yes,Good alignment through year X,1907,Yes,,Alec,,,,,
4/14/2015 10:14:39,2607,FALSE,FALSE,Resolved uncs,Yes,Good alignment throughout,,No,,Alec,,,,,
4/14/2015 10:17:09,2141,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment throughout,,No,,Alec,,,,,
4/14/2015 10:22:12,2580,TRUE,TRUE,"Resolved uncs, Added ring(s)",No,Good alignment through year X,1907,Yes,,Alec,,,,,
4/14/2015 10:28:55,2603,FALSE,FALSE,"Resolved uncs, Added ring(s), Removed ring(s)",Yes,Good alignment through year X,1907,Yes,"3 removed rings made sense visually, added ring did not",Alec,,,,,
4/14/2015 10:48:51,2528,FALSE,FALSE,Resolved uncs,Yes,Good alignment through year X,1960,No,,Alec,"Outer rings are very hard to see, may not be marked correctly and be affecting alignment",,,,
4/14/2015 12:22:36,2595,FALSE,TRUE,Resolved uncs,Yes,Good alignment throughout,,No,,Alec,,,,,
4/14/2015 12:25:36,2525,FALSE,FALSE,Resolved uncs,Yes,Good alignment throughout,,No,,Alec,,,,,
4/14/2015 12:30:43,2143,FALSE,FALSE,Resolved uncs,Yes,Good alignment through year X,1900,Yes,,Alec,,,,,
4/14/2015 12:40:18,2148,FALSE,FALSE,"Resolved uncs, Removed ring(s)",No,Good alignment through year X,1900,Yes,,Alec,,,,1921,
4/14/2015 12:43:01,2577,FALSE,FALSE,Resolved uncs,Yes,Good alignment throughout,,No,,Alec,,,,,
4/14/2015 12:49:26,2601,FALSE,FALSE,"Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment through year X,1903,Yes,,Alec,,,,1990,
4/14/2015 12:53:48,2031,TRUE,TRUE,Added ring(s),No,Good alignment through year X,1903,Yes,,Alec,,,,1950,
4/14/2015 13:01:47,2529,FALSE,FALSE,"Added ring(s), Removed ring(s)",No,Good alignment through year X,1900,Yes,"removed ring made sense visually, added ring did not",Alec,,,,1931,
4/14/2015 13:02:50,2022,TRUE,TRUE,no modifications,,Good alignment through year X,1903,Yes,,Alec,,,,,
4/14/2015 13:05:51,2149,FALSE,FALSE,Removed ring(s),Yes,Good alignment through year X,1900,Yes,,Alec,,,,,
4/14/2015 13:11:01,2538,FALSE,FALSE,Removed ring(s),Yes,Good alignment through year X,1967,No,,Alec,,,,,
4/14/2015 13:14:28,2584,TRUE,TRUE,Removed ring(s),Yes,Good alignment through year X,1903,Yes,,Alec,,,,,
4/14/2015 13:15:42,2025,TRUE,TRUE,no modifications,,Good alignment through year X,1903,Yes,,Alec,,,,,
4/14/2015 13:19:19,2570,FALSE,FALSE,"Dated core, Added ring(s), Removed ring(s)",No,Good alignment through year X,1900,Yes,,Alec,,,,1989,
4/14/2015 13:20:08,2028,TRUE,TRUE,,Yes,Good alignment through year X,1903,Yes,,Alec,,,,,
4/14/2015 13:22:35,2596,FALSE,TRUE,Added ring(s),No,Good alignment throughout,,No,,Alec,,,,1933,
4/14/2015 13:24:32,1438,FALSE,FALSE,Added ring(s),Yes,Good alignment through year X,1896,No,,Alec,,,,,
4/14/2015 13:31:04,1441,TRUE,TRUE,"Added ring(s), Removed ring(s)",Yes,Good alignment through year X,1903,Yes,,Alec,,,,,
4/16/2015 10:42:33,1041,FALSE,FALSE,"Dated core, Added ring(s)",Yes,Good alignment throughout,,No,"difficult to make better correlation, would have to adjust core image too much to make work",Sky,,,,,
4/16/2015 11:04:32,2151,FALSE,FALSE,"Dated core, Added ring(s), Removed ring(s)",Yes,Good alignment through year X,1886,Yes,,Sky,,,,,
4/16/2015 11:24:50,2041,TRUE,TRUE,Dated core,,Good alignment through year X,1951,No,better alignment would require too many adjustments,Sky,check alignment adjustments after 1951,,,,
4/16/2015 11:27:26,2034,FALSE,FALSE,Dated core,,Good alignment through year X,1895,No,,Sky,,,,,
4/16/2015 11:32:46,1266,FALSE,FALSE,Dated core,,Good alignment through year X,1894,No,,Sky,,,,,
4/16/2015 11:39:36,1076,FALSE,FALSE,"Dated core, Removed ring(s)",Yes,Good alignment through year X,1903,No,,Sky,,,,,
4/16/2015 11:47:51,1271,TRUE,TRUE,"Dated core, removed first ring to change starting point of chain",Yes,Good alignment through year X,1904,No,"correlation not as good after 1951, but still the best fit",Sky,,,,,
4/16/2015 12:03:11,1256,FALSE,FALSE,"Dated core, Removed ring(s)",No,Good alignment through year X,1906,No,"alignment in beginning not great, but best fit",Sky,,,,1969,
4/16/2015 12:41:10,1080,FALSE,FALSE,"Dated core, Added ring(s)",No,Good alignment through year X,1933,No,truncated core at 1933 bc poor alignment,Sky,,,,1939,
4/16/2015 12:54:18,2523,FALSE,FALSE,Dated core,,Good alignment through year X,1952,No,,Sky,"truncated alignment after 1952,  but it may be adjusted to fit better",,,,
4/20/2015 13:35:39,2131,FALSE,FALSE,"Dated core, Added ring(s), Removed ring(s)",No,Good alignment through year X,1910,No,,Sky,,,,1981,
4/20/2015 13:42:15,2132,FALSE,FALSE,"Dated core, Added ring(s)",Yes,Good alignment through year X,1913,No,,Sky,,,,,
4/20/2015 13:51:31,2501,TRUE,TRUE,"Dated core, Added ring(s)",No,Poor alignment  throughout,,No,"less than average alignment, can't make much better",Sky,,,,1917,
4/20/2015 13:59:27,2153,TRUE,TRUE,"Dated core, Removed ring(s)",Yes,Good alignment through year X,1922,No,,Sky,,,,,
4/20/2015 14:06:58,2518,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/20/2015 14:10:04,pm94,FALSE,FALSE,Dated core,,Good alignment through year X,1913,No,,Sky,,,,,
4/20/2015 14:17:49,pm99,TRUE,TRUE,"Dated core, Added ring(s), Removed ring(s)",Yes,Good alignment through year X,1921,No,,Sky,,,,,
4/20/2015 14:22:11,2053,FALSE,FALSE,Dated core,,Good alignment through year X,1919,No,,Sky,,,,,
4/21/2015 10:57:03,2116,FALSE,FALSE,"Dated core, Added ring(s), Removed ring(s)",No,Good alignment through year X,1958,No,,Sky,,,,1950,
4/21/2015 10:59:21,pm89,FALSE,FALSE,Dated core,,Good alignment through year X,1927,No,,Sky,,,,,
4/21/2015 11:08:12,1275,TRUE,TRUE,"Dated core, Added ring(s), Removed ring(s)",No,Poor alignment  throughout,,No,alignment good in beginning and end up to 1918; would take too much adjusting in middle to make better ,Sky,,,,1990,
4/21/2015 11:24:49,1273Z,TRUE,TRUE,"Dated core, Added ring(s)",No,Good alignment through year X,1924,No,unclear about addition of rings ,Sky,check addition of rings,,,1989,
4/21/2015 11:28:06,2503,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment through year X,1949,No,"truncated alignment after 1949, couldn't fix",Sky,,,,,
4/21/2015 11:37:12,2101,TRUE,TRUE,"Dated core, Resolved uncs",Yes,Good alignment throughout,,No,,Sky,"check poor alignment 1972 to 1959, could not figure out how to fix",,,,
4/21/2015 11:58:16,2139,TRUE,TRUE,"Dated core, Resolved uncs, Removed ring(s)",No,Poor alignment  throughout,,No,,Sky,,,,1933,
4/21/2015 12:01:41,pm265,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment through year X,1912,No,,Sky,,,,,
4/21/2015 12:10:04,1253,FALSE,FALSE,"Dated core, Resolved uncs, Added ring(s)",Yes,Good alignment through year X,1916,No,,Sky,,,,,
4/21/2015 12:17:02,2080,TRUE,TRUE,"Dated core, Resolved uncs, Removed ring(s)",Yes,Good alignment through year X,1970,No,alignment poor after 1970,Sky,check dating ,,,,
4/21/2015 12:45:06,2049,TRUE,TRUE,"Dated core, Resolved uncs, Removed ring(s)",Yes,Good alignment through year X,1886,No,alignment decays after 1909,Sky,,,,,
4/21/2015 12:45:11,2049,FALSE,TRUE,"Dated core, Resolved uncs, Removed ring(s)",Yes,Good alignment throughout,,No,Modified by Cameron for task C.1: 10/14/15,Sky,,,,,
4/21/2015 13:08:40,2508,FALSE,FALSE,"Dated core, Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment through year X,1915,No,"alignment drops after 1915, could not modify to fit better so truncated ",Sky,check for adjustments made after 1915,,,1973,
4/21/2015 13:26:13,1403,FALSE,FALSE,"Dated core, Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment through year X,1892,No,,Sky,,,,1952,
4/23/2015 10:52:21,2126,FALSE,FALSE,"Dated core, Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment through year X,1920,No,had to delete many rings that didn't make sense in image but dramatically improved alignment,Sky,,,,2005,
4/23/2015 10:57:32,1404,TRUE,TRUE,"Dated core, Resolved uncs",Yes,Good alignment through year X,1956,No,truncated at ab ,Sky,,,,,
4/23/2015 11:04:56,1408,TRUE,TRUE,"Dated core, Resolved uncs, Added ring(s)",Yes,Poor alignment  throughout,,No,core difficult to date ,Sky,,,,,
4/23/2015 11:21:10,2110,FALSE,FALSE,"Dated core, Added ring(s), Removed ring(s)",No,Good alignment through year X,1885,Yes,"good alignment until 1981, then drops; altered image so correlation was never negative but did not make sense in image; difficult core ",Sky,check alignment adjustments ,,,1958,
4/23/2015 11:35:07,1325,TRUE,TRUE,Resolved uncs,Yes,Good alignment through year X,1950,Yes,,Sky,,,,,
4/23/2015 11:37:27,1205,FALSE,FALSE,"Resolved uncs, Added ring(s)",Yes,Good alignment throughout,,No,,Sky,,,,,
4/23/2015 11:41:05,1373,TRUE,TRUE,Resolved uncs,Yes,Good alignment through year X,1937,Yes,,Sky,,,,,
4/23/2015 11:47:38,1455,TRUE,TRUE,"Dated core, Removed ring(s)",Yes,Good alignment through year X,1937,Yes,dramatically improved alignment when deleted ring between 59 and 60 but did not make sense in image,Sky,check deleted ring,,,,
4/23/2015 11:53:02,1448,TRUE,TRUE,"Dated core, Added ring(s)",Yes,Good alignment through year X,1937,Yes,"great alignment in beginning, added ring to make better alignment but unclear",Sky,check added ring,,,,
4/23/2015 11:57:02,1357Z,TRUE,TRUE,"Dated core, Added ring(s)",Yes,Good alignment through year X,1941,No,,Sky,,,,,
4/23/2015 11:58:36,1346,FALSE,FALSE,Dated core,,Good alignment through year X,1962,No,,Sky,,,,,
4/23/2015 12:01:54,1294,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/23/2015 12:03:52,1207,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/23/2015 12:07:39,1084,FALSE,FALSE,"Dated core, Added ring(s)",No,Good alignment throughout,,No,,Sky,,,,2009,
4/23/2015 12:09:28,1048,FALSE,FALSE,Dated core,,Good alignment through year X,1965,No,,Sky,,,,,
4/23/2015 12:11:58,1330,FALSE,FALSE,Dated core,,Good alignment through year X,1970,No,,Sky,,,,,
4/23/2015 12:13:05,1054,FALSE,FALSE,Dated core,,Good alignment through year X,1971,No,,Sky,,,,,
4/23/2015 12:16:12,1093,TRUE,TRUE,Dated core,,Good alignment throughout,,No,,Sky,"had to offset by a large amount, check to see if could date better with a smaller offset",,,,
4/23/2015 12:17:36,1210,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/23/2015 12:39:45,1316,FALSE,FALSE,"Dated core, Added ring(s), Removed ring(s)",Yes,Good alignment throughout,,No,,Sky,,,,,
4/23/2015 12:49:14,1323,FALSE,FALSE,Dated core,,Poor alignment  throughout,,No,,Sky,,,,,
4/23/2015 12:54:32,1327,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/23/2015 12:58:09,1042,TRUE,TRUE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/23/2015 12:58:58,1003,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/23/2015 13:07:17,1384,FALSE,FALSE,"Dated core, Added ring(s)",Yes,Good alignment through year X,1952,No,,Sky,,,,,
4/23/2015 13:12:37,1335,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment throughout,,No,,Sky,,,,,
4/23/2015 13:20:37,1344,TRUE,TRUE,Dated core,,Good alignment through year X,1967,No,could not resolve uncs so truncated before uncs,Sky,check to see if uncs can be resolved within chronology,,,,
4/23/2015 13:24:38,1051,FALSE,FALSE,"Dated core, Resolved uncs, Removed ring(s)",Yes,Good alignment throughout,,No,,Sky,,,,,
4/27/2015 13:35:15,1447,FALSE,FALSE,"Dated core, Added ring(s), Removed ring(s)",Yes,Good alignment through year X,1887,Yes,,Sky,,,,,
4/27/2015 13:45:49,1388,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment through year X,1935,No,,Sky,check dating ,,,,
4/27/2015 14:03:40,1395,FALSE,FALSE,"Dated core, Resolved uncs, Removed ring(s)",Yes,Good alignment through year X,1887,Yes,,Sky,,,,,
4/27/2015 14:09:02,1059,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment throughout,,No,"alignment between 1970 and 1950 unclear on how to make better, but otherwise great alignment",Sky,,,,,
4/27/2015 14:23:46,1466,FALSE,FALSE,"Dated core, Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment throughout,,No,,Sky,,,,1978,
4/27/2015 14:41:27,1341,FALSE,FALSE,"Dated core, Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment throughout,,No,,Sky,,,,1986,
4/27/2015 14:45:53,1203,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment through year X,1936,No,,Sky,unclear alignment between 1969 and 1963: check if adjustments should be made?,,,,
4/27/2015 14:48:14,1342B,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 11:03:47,1057,TRUE,TRUE,"Dated core, Added ring(s), Removed ring(s)",No,Poor alignment  throughout,,No,,Sky,,,,1948,
4/28/2015 11:15:31,1383,FALSE,FALSE,"Dated core, Resolved uncs, Added ring(s), Removed ring(s)",No,Poor alignment  throughout,,No,difficult core,Sky,deletion of rings doesn't make sense in image at all- check adjustments,,,1993,
4/28/2015 11:42:28,1348,FALSE,FALSE,"Dated core, Resolved uncs, Removed ring(s)",No,Good alignment through year X,1922,No,truncated alignment at 1975 because of poor alignment,Sky,check dating,,,1993,
4/28/2015 11:52:50,1453,TRUE,TRUE,"Dated core, Added ring(s), Removed ring(s)",No,Poor alignment  throughout,,No,difficult core,Sky,,,,1967,
4/28/2015 12:03:59,4008,FALSE,FALSE,Resolved uncs,Yes,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 12:05:16,4044,FALSE,FALSE,"Resolved uncs, Added ring(s)",Yes,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 12:06:35,4049,FALSE,FALSE,Resolved uncs,Yes,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 12:08:30,4207,FALSE,FALSE,"Resolved uncs, Added ring(s)",Yes,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 12:09:29,4027,FALSE,FALSE,"Resolved uncs, Removed ring(s)",Yes,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 12:12:26,1298,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 12:17:24,1286,FALSE,FALSE,"Dated core, Added ring(s)",No,Good alignment throughout,,No,,Sky,,,,1990,
4/28/2015 12:19:48,1312,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 12:22:37,1012,TRUE,TRUE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 12:25:11,1219,FALSE,FALSE,"Dated core, Added ring(s)",Yes,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 12:29:53,1215,TRUE,TRUE,"Dated core, Added ring(s), Removed ring(s)",Yes,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 12:30:50,1309,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 12:34:49,4011,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 12:36:17,4220,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 12:44:13,4038,FALSE,FALSE,"Dated core, moved ring placement",Yes,Good alignment throughout,,No,"had to move ring placement for rings 3,4 to drastically improve alignment but doesn't make sense in image",Sky,check rings 3 and 4 ,,,,
4/28/2015 12:48:43,4039,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 12:49:38,4215,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 12:51:39,4204,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/28/2015 12:52:41,4015,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/30/2015 10:39:00,1019,TRUE,TRUE,"Dated core, Added ring(s)",No,Good alignment throughout,,No,difficult core,Sky,,,,1960,
4/30/2015 10:54:07,1026,TRUE,TRUE,"Dated core, Added ring(s), Removed ring(s)",No,Good alignment throughout,,No,,Sky,,,,2006,
4/30/2015 11:15:59,1311,TRUE,TRUE,"Dated core, Resolved uncs, Added ring(s), Removed ring(s)",Yes,Good alignment through year X,1939,Yes,,Sky,,,,,
4/30/2015 11:25:53,4031,FALSE,FALSE,"Dated core, Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment through year X,1939,No,,Sky,modifications made to better fit later years did not make sense in image: truncated good alignment or include modifications?,,,1971,
4/30/2015 11:27:32,4030,FALSE,FALSE,"Dated core, Resolved uncs, Removed ring(s)",Yes,Good alignment throughout,,No,,Sky,,,,,
4/30/2015 11:30:40,4036,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment throughout,,No,,Sky,,,,,
4/30/2015 11:36:34,1009,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment throughout,,No,,Sky,,,,,
4/30/2015 11:52:43,4025,FALSE,FALSE,"Dated core, Resolved uncs, Removed ring(s)",Yes,Good alignment throughout,,No,,Sky,,,,,
4/30/2015 11:56:38,4204Z,TRUE,TRUE,"Dated core, Resolved uncs",Yes,Good alignment throughout,,No,,Sky,,,,,
4/30/2015 12:02:13,4029,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment through year X,1939,No,,Sky,,,,,
4/30/2015 12:05:54,4028,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment throughout,,No,,Sky,,,,,
4/30/2015 12:11:32,1313,FALSE,FALSE,Dated core,,Good alignment through year X,1955,No,,Sky,check dating,,,,
4/30/2015 12:13:00,4040,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Sky,,,,,
4/30/2015 12:16:17,1010,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment through year X,1944,No,,Sky,,,,,
4/30/2015 12:21:14,4003,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment throughout,,No,,Sky,,,,,
4/30/2015 12:23:22,4219,FALSE,FALSE,"Dated core, Resolved uncs",Yes,Good alignment throughout,,No,,Sky,,,,,
4/30/2015 15:17:21,2553,FALSE,TRUE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 15:23:43,1494,FALSE,TRUE,"Added ring(s), Removed ring(s)",No,Good alignment throughout,,No,Modified by Cameron for task C.1: 10/14/15,Alec,,,,1929,
4/30/2015 15:26:38,1500,TRUE,TRUE,Removed ring(s),No,Good alignment through year X,1903,Yes,,Alec,,,,,
4/30/2015 15:35:10,2602,TRUE,TRUE,no modifications,,Good alignment through year X,1975,No,,Alec,,,,,
4/30/2015 15:36:16,2604,FALSE,TRUE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 15:56:59,2016,TRUE,TRUE,no modifications,,Good alignment through year X,1983,No,,Alec,,,,,
4/30/2015 16:04:07,2598,FALSE,FALSE,Removed ring(s),Yes,Good alignment through year X,1953,No,,Alec,,,,,
4/30/2015 16:09:46,2560,FALSE,FALSE,"Added ring(s), Removed ring(s)",Yes,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 16:10:49,2015B,FALSE,TRUE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 16:13:48,2005,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 16:15:29,2533,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 16:20:04,2575B,FALSE,TRUE,Removed ring(s),Yes,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 16:22:43,2546,FALSE,FALSE,Removed ring(s),Yes,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 16:24:26,2545,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 16:26:52,2002,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 16:43:13,2145,FALSE,FALSE,Dated core,,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 16:44:47,2009,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 16:46:00,2566,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 16:49:49,1436,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 16:56:28,2537,TRUE,TRUE,Removed ring(s),No,Good alignment through year X,1955,No,,Alec,,,,1988,
4/30/2015 16:57:51,pm285,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 17:00:17,2544,FALSE,FALSE,,Yes,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 17:04:30,2527,FALSE,FALSE,Removed ring(s),Yes,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 17:08:40,2531,FALSE,FALSE,no modifications,,Good alignment through year X,1988,No,,Alec,,,,,
4/30/2015 17:10:46,2551Z,FALSE,FALSE,Removed ring(s),Yes,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 17:11:59,1431,TRUE,TRUE,,Yes,Good alignment throughout,,No,,Alec,,,,,
4/30/2015 17:13:44,1431,FALSE,TRUE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 10:34:28,2007,FALSE,FALSE,Resolved uncs,Yes,Good alignment through year X,1898,No,,Alec,,,,,
5/4/2015 10:37:30,2567Z,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 10:41:42,2001A,FALSE,FALSE,resolved ab,Yes,Good alignment throughout,,No,"Ab didn't seem like real ab, just a couple weird looking rings. Added points for rings and alignment was really good.",Alec,,,,,
5/4/2015 10:44:34,1429,FALSE,FALSE,no modifications,,Good alignment through year X,1887,Yes,,Alec,,,,,
5/4/2015 10:46:09,pm101,FALSE,FALSE,no modifications,,Good alignment through year X,1900,Yes,,Alec,,,,,
5/4/2015 10:48:50,1433,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 10:49:45,2006,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 10:51:00,2605,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 10:52:15,1442,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 10:58:22,1418Z,TRUE,TRUE,Removed ring(s),Yes,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 10:59:55,2010,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 11:00:49,2606,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 11:02:15,2550,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 11:03:30,2140,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 11:04:31,2532,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 11:05:41,2011,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 11:07:05,2004,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 11:08:39,2017,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 11:09:36,2548,TRUE,TRUE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 11:10:15,1427,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 11:17:11,2144,FALSE,FALSE,resolved ab,Yes,Good alignment throughout,,No,"Ab didn't seem like real ab, just a couple weird looking rings. Added points for rings and alignment was really good.",Alec,,,,,
5/4/2015 11:21:01,2548,FALSE,TRUE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 11:26:40,2026,TRUE,TRUE,"Added ring(s), Removed ring(s)",Yes,Good alignment through year X,1903,Yes,,Alec,,,,,
5/4/2015 11:28:09,2554,FALSE,FALSE,no modifications,,Good alignment through year X,1900,Yes,,Alec,,,,,
5/4/2015 11:30:29,2593,FALSE,FALSE,no modifications,,Good alignment through year X,1900,Yes,,Alec,,,,,
5/4/2015 11:31:26,2583,FALSE,FALSE,no modifications,,Good alignment through year X,1900,Yes,,Alec,,,,,
5/4/2015 11:34:13,2587,FALSE,FALSE,"Added ring(s), Removed ring(s)",No,Good alignment through year X,2000,Yes,,Alec,,,,1949,
5/4/2015 11:40:26,2524,FALSE,FALSE,"Added ring(s), Removed ring(s)",No,Good alignment through year X,1900,Yes,,Alec,,,,1978,
5/4/2015 11:41:07,2549,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 11:44:25,1498,TRUE,TRUE,Added ring(s),No,Good alignment through year X,1903,Yes,,Alec,,,,1995,
5/4/2015 11:48:05,2530,FALSE,FALSE,"Added ring(s), Removed ring(s)",No,Good alignment through year X,1900,Yes,,Alec,,,,1953,
5/4/2015 11:51:32,2548B,FALSE,FALSE,no modifications,,Good alignment throughout,,No,,Alec,,,,,
5/4/2015 14:11:51,1229,FALSE,FALSE,Resolved uncs,Yes,Good alignment through year X,1944,No,,Sky,,,,,
5/4/2015 14:12:41,1411,FALSE,FALSE,Resolved uncs,Yes,Good alignment through year X,1967,No,,Sky,,,,,
5/4/2015 14:21:55,1413,FALSE,FALSE,Resolved uncs,Yes,Good alignment through year X,1905,No,,Sky,,,,,
5/4/2015 14:27:25,2120,FALSE,FALSE,"Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment throughout,,No,,Sky,,,,1962,
5/4/2015 14:35:09,2154,FALSE,FALSE,"Resolved uncs, Added ring(s), Removed ring(s)",No,Good alignment through year X,1885,Yes,,Sky,,,,1973,
